可缩码："动画人"  dhrvv ->   dhrv (dong hua ren)
可缩码："代理人"  dlriv ->   dlri (dai li ren)
可缩码："大忙人"  dmrvo ->   dmrv (da mang ren)
可缩码："的朋友"  dpree ->   dpre (de peng you)
可缩码："当然不"  drbie ->   drbi (dang ran bu)
可缩码："大如斗"  drdva ->   drdv (da ru dou)
可缩码："地热能"  drnvi ->   drnv (di re neng)
可缩码："戴玉强"  drqev ->   drqe (dai yu qiang)
可缩码："丢眼色"  drsei ->   drse (diu yan se)
可缩码："大人物"  drwvi ->   drwv (da ren wu)
可缩码："第三人"  dsrev ->   dsre (di san ren)
可缩码："多万人"  dwrev ->   dwre (duo wan ren)
可缩码："倒差笔"  dybio ->   dybi (dao cha bi)
可缩码："打嘴仗"  dz;io ->   dz;i (da zui zhang)
可缩码："分之一"  f;reo ->   f;re (fen zhi yi)
可缩码："发标人"  fbrav ->   fbra (fa biao ren)
可缩码："放风筝"  ff;oe ->   ff;o (fang feng zheng)
可缩码："驸马爷"  fmraa ->   fmra (fu ma ye)
可缩码："肺气肿"  fq;ee ->   fq;e (fei qi zhong)
可缩码："发热量"  frlai ->   frla (fa re liang)
可缩码："疯人院"  frroi ->   frro (feng ren yuan)
可缩码："复写纸"  fx;eo ->   fx;e (fu xie zhi)
可缩码："副作用"  fzrvi ->   fzrv (fu zuo yong)
可缩码："更多人"  gdrve ->   gdrv (geng duo ren)
可缩码："广告人"  ggroe ->   ggro (guang gao ren)
可缩码："光和热"  ghrie ->   ghri (guang he re)
可缩码："革命者"  gm;vi ->   gm;v (ge ming zhe)
可缩码："郭沫若"  gmroa ->   gmro (guo mo ruo)
可缩码："购票者"  gp;av ->   gp;a (gou piao zhe)
可缩码："国庆日"  gqrio ->   gqri (guo qing ri)
可缩码："感染者"  gr;va ->   gr;v (gan ran zhe)
可缩码："工业部"  grbvi ->   grbv (gong ye bu)
可缩码："搞一次"  grciv ->   grci (gao yi ci)
可缩码："高压电"  grdov ->   grdo (gao ya dian)
可缩码："工人们"  grmvi ->   grmv (gong ren men)
可缩码："骨肉情"  grqii ->   grqi (gu rou qing)
可缩码："干扰素"  grsvi ->   grsv (gan rao su)
可缩码："广域网"  grwov ->   grwo (guang yu wang)
可缩码："感染性"  grxva ->   grxv (gan ran xing)
可缩码："硅酸盐"  gsrvv ->   gsrv (gui suan yan)
可缩码："公务员"  gwree ->   gwre (gong wu yuan)
可缩码："观察期"  gyqao ->   gyqa (guan cha qi)
可缩码："广场舞"  gywov ->   gywo (guang chang wu)
可缩码："高增长"  gz;ov ->   gz;o (gao zeng zhang)
可缩码："工作日"  gzrvi ->   gzrv (gong zuo ri)
可缩码："河长制"  h;;ae ->   h;;a (he zhang zhi)
可缩码："很长的"  h;dee ->   h;de (hen zhang de)
可缩码："核工业"  hgrvv ->   hgrv (he gong ye)
可缩码："好几日"  hjrae ->   hjra (hao ji ri)
可缩码："汇款人"  hkrav ->   hkra (hui kuan ren)
可缩码："海洛因"  hlraa ->   hlra (hai luo yin)
可缩码："还没让"  hmrva ->   hmrv (hai mei rang)
可缩码："和男友"  hnrei ->   hnre (he nan you)
可缩码："黑眼睛"  hrjii ->   hrji (hei yan jing)
可缩码："会员卡"  hrkio ->   hrki (hui yuan ka)
可缩码："薅羊毛"  hrmio ->   hrmi (hao yang mao)
可缩码："会让你"  hrnio ->   hrni (hui rang ni)
可缩码："或然性"  hrxve ->   hrxv (huo ran xing)
可缩码："会意字"  hrzio ->   hrzi (hui yi zi)
可缩码："侯赛因"  hsrio ->   hsri (hou sai yin)
可缩码："火腿肉"  htroe ->   htro (huo tui rou)
可缩码："糊涂虫"  htyoa ->   htyo (hu tu chong)
可缩码："还需要"  hxrvv ->   hxrv (hai xu yao)
可缩码："缓冲行"  hyhao ->   hyha (huan chong hang)
可缩码："好在有"  hzrav ->   hzra (hao zai you)
可缩码："贾宝玉"  jbrvo ->   jbrv (jia bao yu)
可缩码："决策人"  jcroe ->   jcro (jue ce ren)
可缩码："几个月"  jgrei ->   jgre (ji ge yue)
可缩码："结婚照"  jh;aa ->   jh;a (jie hun zhao)
可缩码："嫁祸于"  jhrao ->   jhra (jia huo yu)
可缩码："健康人"  jkrio ->   jkri (jian kang ren)
可缩码："金枪鱼"  jqriv ->   jqri (jin qiang yu)
可缩码："金融报"  jrbiv ->   jrbi (jin rong bao)
可缩码："金融界"  jrjiv ->   jrji (jin rong jie)
可缩码："肌肉男"  jrnei ->   jrne (ji rou nan)
可缩码："交易额"  jrxoo ->   jrxo (jiao yi e)
可缩码："开户人"  khrvo ->   khrv (kai hu ren)
可缩码："可利用"  klrve ->   klrv (ke li yong)
可缩码："凯美瑞"  kmrio ->   kmri (kai mei rui)
可缩码："烤牛肉"  knroe ->   knro (kao niu rou)
可缩码："狂热者"  kr;ei ->   kr;e (kuang re zhe)
可缩码："快一步"  krbov ->   krbo (kuai yi bu)
可缩码："可以拿"  krnva ->   krnv (ke yi na)
可缩码："窥阴癖"  krpoa ->   krpo (kui yin pi)
可缩码："苦日子"  krzio ->   krzi (ku ri zi)
可缩码："靠他人"  ktrei ->   ktre (kao ta ren)
可缩码："考试院"  kureo ->   kure (kao shi yuan)
可缩码："苦心人"  kxrio ->   kxri (ku xin ren)
可缩码："李肇星"  l;xvo ->   l;xv (li zhao xing)
可缩码："利比亚"  lbrev ->   lbre (li bi ya)
可缩码："刘关张"  lg;oo ->   lg;o (liu guan zhang)
可缩码："蓝孩纸"  lh;ia ->   lh;i (lan hai zhi)
可缩码："老花眼"  lhrei ->   lhre (lao hua yan)
可缩码："拉家常"  ljyio ->   ljyi (la jia chang)
可缩码："李可染"  lkrvv ->   lkrv (li ke ran)
可缩码："沦落人"  llrai ->   llra (lun luo ren)
可缩码："老人们"  lrmei ->   lrme (lao ren men)
可缩码："狼人杀"  lruei ->   lrue (lang ren sha)
可缩码："丽人网"  lrwvi ->   lrwv (li ren wang)
可缩码："绿茶婊"  lybai ->   lyba (lv cha biao)
可缩码："莫扎特"  m;tii ->   m;ti (mo zha te)
可缩码："明白人"  mbroe ->   mbro (ming bai ren)
可缩码："摩擦音"  mcroi ->   mcro (mo ca yin)
可缩码："魔法阵"  mf;oa ->   mf;o (mo fa zhen)
可缩码："木芙蓉"  mfrvi ->   mfrv (mu fu rong)
可缩码："每个月"  mgrei ->   mgre (mei ge yue)
可缩码："孟浩然"  mhraa ->   mhra (meng hao ran)
可缩码："冒冒然"  mmrii ->   mmri (mao mao ran)
可缩码："牦牛肉"  mnree ->   mnre (mao niu rou)
可缩码："每一段"  mrdev ->   mrde (mei yi duan)
可缩码："每一刻"  mrkev ->   mrke (mei yi ke)
可缩码："默认了"  mrlio ->   mrli (mo ren le)
可缩码："美人梅"  mrmoi ->   mrmo (mei ren mei)
可缩码："美容品"  mrpoo ->   mrpo (mei rong pin)
可缩码："名人堂"  mrtei ->   mrte (ming ren tang)
可缩码："美容师"  mruoo ->   mruo (mei rong shi)
可缩码："牡羊座"  mrzeo ->   mrze (mu yang zuo)
可缩码："猫头鹰"  mtreo ->   mtre (mao tou ying)
可缩码："莫须有"  mxrie ->   mxri (mo xu you)
可缩码："脑震荡"  n;dev ->   n;de (nao zhen dang)
可缩码："女职工"  n;gav ->   n;ga (nv zhi gong)
可缩码："女主角"  n;jao ->   n;ja (nv zhu jue)
可缩码："南北朝"  nbyei ->   nbye (nan bei chao)
可缩码："拿得准"  nd;ie ->   nd;i (na de zhun)
可缩码："男高音"  ngrio ->   ngri (nan gao yin)
可缩码："农机站"  nj;ov ->   nj;o (nong ji zhan)
可缩码："奴隶主"  nl;aa ->   nl;a (nu li zhu)
可缩码："内切圆"  nqriv ->   nqri (nei qie yuan)
可缩码："你如此"  nrcia ->   nrci (ni ru ci)
可缩码："男人都"  nrdii ->   nrdi (nan ren dou)
可缩码："拟人化"  nrhii ->   nrhi (ni ren hua)
可缩码："牛肉汤"  nrtei ->   nrte (niu rou tang)
可缩码："哪一位"  nrwov ->   nrwo (na yi wei)
可缩码："纳税人"  nurae ->   nura (na shui ren)
可缩码："农学院"  nxroo ->   nxro (nong xue yuan)
可缩码："怕只怕"  p;poo ->   p;po (pa zhi pa)
可缩码："碰中我"  p;wvi ->   p;wv (peng zhong wo)
可缩码："炮兵营"  pbroe ->   pbro (pao bing ying)
可缩码："评论员"  plroo ->   plro (ping lun yuan)
可缩码："聘用制"  pr;ve ->   pr;v (pin yong zhi)
可缩码："朋友说"  pruev ->   prue (peng you shuo)
可缩码："葡萄牙"  ptrii ->   ptri (pu tao ya)
可缩码："评审人"  puroo ->   puro (ping shen ren)
可缩码："普查员"  pyrov ->   pyro (pu cha yuan)
可缩码："敲竹杠"  q;goe ->   q;go (qiao zhu gang)
可缩码："驱逐舰"  q;jav ->   q;ja (qu zhu jian)
可缩码："牵着走"  q;zvo ->   q;zv (qian zhe zou)
可缩码："却不知"  qb;vv ->   qb;v (que bu zhi)
可缩码："全家人"  qjrio ->   qjri (quan jia ren)
可缩码："强留人"  qlrae ->   qlra (qiang liu ren)
可缩码："青年人"  qnrve ->   qnrv (qing nian ren)
可缩码："强忍着"  qr;aa ->   qr;a (qiang ren zhe)
可缩码："去日本"  qrbvo ->   qrbv (qu ri ben)
可缩码："前一段"  qrdov ->   qrdo (qian yi duan)
可缩码："请原谅"  qrlov ->   qrlo (qing yuan liang)
可缩码："群友们"  qrmav ->   qrma (qun you men)
可缩码："亲日派"  qrpoo ->   qrpo (qin ri pai)
可缩码："嵌入式"  qruie ->   qrui (qian ru shi)
可缩码："区域性"  qrxvv ->   qrxv (qu yu xing)
可缩码："全新装"  qx;io ->   qx;i (quan xin zhuang)
可缩码："起床气"  qyqvo ->   qyqv (qi chuang qi)
可缩码："宇宙观"  r;goo ->   r;go (yu zhou guan)
可缩码："软着陆"  r;lvo ->   r;lv (ruan zhuo lu)
可缩码："认知码"  r;moe ->   r;mo (ren zhi ma)
可缩码："杨振宁"  r;nvi ->   r;nv (yang zhen ning)
可缩码："易中天"  r;toi ->   r;to (yi zhong tian)
可缩码："一指禅"  r;yvi ->   r;yv (yi zhi chan)
可缩码："一直在"  r;zve ->   r;zv (yi zhi zai)
可缩码："日本国"  rbgov ->   rbgo (ri ben guo)
可缩码："日本海"  rbhov ->   rbho (ri ben hai)
可缩码："用不起"  rbqev ->   rbqe (yong bu qi)
可缩码："乳白色"  rbsee ->   rbse (ru bai se)
可缩码："若不是"  rbuiv ->   rbui (ruo bu shi)
可缩码："容不下"  rbxov ->   rbxo (rong bu xia)
可缩码："如此之"  rc;ai ->   rc;a (ru ci zhi)
可缩码："药材店"  rcdiv ->   rcdi (yao cai dian)
可缩码："人才观"  rcgiv ->   rcgi (ren cai guan)
可缩码："人才库"  rckiv ->   rcki (ren cai ku)
可缩码："如厕难"  rcnav ->   rcna (ru ce nan)
可缩码："如此轻"  rcqai ->   rcqa (ru ci qing)
可缩码："容错性"  rcxoi ->   rcxo (rong cuo xing)
可缩码："热电站"  rd;ii ->   rd;i (re dian zhan)
可缩码："热导管"  rdgia ->   rdgi (re dao guan)
可缩码："有多么"  rdmve ->   rdmv (you duo me)
可缩码："人道是"  rduio ->   rdui (ren dao shi)
可缩码："热电偶"  rdxii ->   rdxi (re dian ou)
可缩码："热电厂"  rdyii ->   rdyi (re dian chang)
