可缩码："我认识"  wrueo ->   wrue (wo ren shi)
可缩码："吴彦祖"  wrzoo ->   wrzo (wu yan zu)
可缩码："微斯人"  wsrev ->   wsre (wei si ren)
可缩码："无污染"  wwrva ->   wwrv (wu wu ran)
可缩码："我需要"  wxrev ->   wxre (wo xu yao)
可缩码："修正稿"  x;giv ->   x;gi (xiu zheng gao)
可缩码："徐志摩"  x;mev ->   x;me (xu zhi mo)
可缩码："系主任"  x;reo ->   x;re (xi zhu ren)
可缩码："消防员"  xfraa ->   xfra (xiao fang yuan)
可缩码："下个月"  xgrvi ->   xgrv (xia ge yue)
可缩码："相较于"  xjrvv ->   xjrv (xiang jiao yu)
可缩码："向客人"  xkreo ->   xkre (xiang ke ren)
可缩码："小女人"  xnria ->   xnri (xiao nv ren)
可缩码："星期日"  xqrov ->   xqro (xing qi ri)
可缩码："写清楚"  xqyoa ->   xqyo (xie qing chu)
可缩码："小日本"  xrbio ->   xrbi (xiao ri ben)
可缩码："形容词"  xrcvo ->   xrcv (xing rong ci)
可缩码："洗染店"  xrdaa ->   xrda (xi ran dian)
可缩码："信任感"  xrgii ->   xrgi (xin ren gan)
可缩码："向日葵"  xrkeo ->   xrke (xiang ri kui)
可缩码："爱人民"  xrmei ->   xrme (ai ren min)
可缩码："信任票"  xrpii ->   xrpi (xin ren piao)
可缩码："吓一跳"  xrtov ->   xrto (xia yi tiao)
可缩码："校园网"  xrwvi ->   xrwv (xiao yuan wang)
可缩码："小燕子"  xrziv ->   xrzi (xiao yan zi)
可缩码："硝酸盐"  xsrvv ->   xsrv (xiao suan yan)
可缩码："小太阳"  xtriv ->   xtri (xiao tai yang)
可缩码："心上人"  xuroi ->   xuro (xin shang ren)
可缩码："写文章"  xw;oo ->   xw;o (xie wen zhang)
可缩码："行为人"  xwreo ->   xwre (xing wei ren)
可缩码："二重唱"  xyyve ->   xyyv (er chong chang)
可缩码："仇者快"  y;kie ->   y;ki (chou zhe kuai)
可缩码："储备粮"  yblie ->   ybli (chu bei liang)
可缩码："车次表"  ycbvo ->   ycbv (che ci biao)
可缩码："查词典"  ycdvo ->   ycdv (cha ci dian)
可缩码："储藏柜"  ycgii ->   ycgi (chu cang gui)
可缩码："炒房团"  yftoo ->   yfto (chao fang tuan)
可缩码："吃官司"  ygsoo ->   ygso (chi guan si)
可缩码："出口货"  ykhao ->   ykha (chu kou huo)
可缩码："撑门面"  ymmio ->   ymmi (cheng men mian)
可缩码："超频到"  ypdvi ->   ypdv (chao pin dao)
可缩码："吃偏食"  ypuoi ->   ypuo (chi pian shi)
可缩码："陈寅恪"  yrkao ->   yrka (chen yin ke)
可缩码："成文法"  ywfvo ->   ywfv (cheng wen fa)
可缩码："成为了"  ywlvo ->   ywlv (cheng wei le)
可缩码："查尔斯"  yxsve ->   yxsv (cha er si)
可缩码："超自然"  yzrve ->   yzrv (chao zi ran)
可缩码："暂住证"  z;;vi ->   z;;v (zan zhu zheng)
可缩码："组织部"  z;baa ->   z;ba (zu zhi bu)
可缩码："在这次"  z;cvo ->   z;cv (zai zhe ci)
可缩码："增长点"  z;dve ->   z;dv (zeng zhang dian)
可缩码："自传体"  z;tei ->   z;te (zi zhuan ti)
可缩码："坐标轴"  zb;iv ->   zb;i (zuo biao zhou)
可缩码："赞比亚"  zbrev ->   zbre (zan bi ya)
可缩码："做敌人"  zdrie ->   zdri (zuo di ren)
可缩码："在个人"  zgrvi ->   zgrv (zai ge ren)
可缩码："最高潮"  zgyoo ->   zgyo (zui gao chao)
可缩码："最后一"  zhroe ->   zhro (zui hou yi)
可缩码："总令人"  zlroi ->   zlro (zong ling ren)
可缩码："在默认"  zmrvi ->   zmrv (zai mo ren)
可缩码："作品展"  zp;io ->   zp;i (zuo pin zhan)
可缩码："作业本"  zrbii ->   zrbi (zuo ye ben)
可缩码："自然村"  zrcee ->   zrce (zi ran cun)
可缩码："自然段"  zrdee ->   zrde (zi ran duan)
可缩码："自由化"  zrhei ->   zrhe (zi you hua)
可缩码："自然界"  zrjee ->   zrje (zi ran jie)
可缩码："资源库"  zrkoa ->   zrko (zi yuan ku)
可缩码："自然力"  zrlee ->   zrle (zi ran li)
可缩码："自然码"  zrmee ->   zrme (zi ran ma)
可缩码："自由鸟"  zrnei ->   zrne (zi you niao)
可缩码："自然派"  zrpee ->   zrpe (zi ran pai)
可缩码："责任区"  zrqvi ->   zrqv (ze ren qu)
可缩码："自然色"  zrsee ->   zrse (zi ran se)
可缩码："责任田"  zrtvi ->   zrtv (ze ren tian)
可缩码："自以为"  zrwea ->   zrwe (zi yi wei)
可缩码："再融资"  zrzvv ->   zrzv (zai rong zi)
可缩码："最讨厌"  ztroo ->   ztro (zui tao yan)
